symbol,open,high,low,close,volume,prev_close,date
AGTL,374.5,374.5,369.1,371.0,5500,373.0,2021-01-21
AHCL,41.0,41.15,40.4,40.49,28500,41.5,2021-01-21
AHL,70.5,71.95,70.0,70.02,23000,70.84,2021-01-21
AHTM,45.54,45.54,45.54,45.54,500,48.94,2021-01-21
AICL,44.0,46.24,43.75,45.03,2150500,43.59,2021-01-21
AICL-JAN,45.0,46.0,45.0,45.44,9,43.82,2021-01-21
AKBL,23.49,23.5,23.21,23.32,133500,23.34,2021-01-21
AKBL-JAN,23.38,0.0,0.0,23.38,0,23.59,2021-01-21
AKDCL,409.98,430.0,384.47,400.87,19400,415.64,2021-01-21
ALNRS,55.5,55.5,55.5,55.5,1000,60.0,2021-01-21
ALTN,27.71,27.71,27.71,27.71,1000,29.95,2021-01-21
AMBL,21.48,21.48,21.48,21.48,500,20.23,2021-01-21
ANL,27.99,28.45,27.45,28.21,12196000,27.81,2021-01-21
ANTM,12.9,13.2,12.86,13.2,2500,13.9,2021-01-21
APL,375.0,390.0,372.0,384.52,252600,376.68,2021-01-21
ARM,9.51,9.51,9.51,9.51,500,10.05,2021-01-21
ARPL,587.0,590.0,579.84,589.85,6850,579.84,2021-01-21
ARUJ,14.81,15.25,14.81,15.25,1000,15.94,2021-01-21
ASC,16.98,17.37,16.1,16.39,16117000,16.88,2021-01-21
ASCR1,6.83,7.08,6.5,6.56,5480500,6.75,2021-01-21
ASHT,10.2,10.2,10.2,10.2,1000,10.2,2021-01-21
ASL,23.62,24.6,23.62,24.09,11070000,23.76,2021-01-21
ASLPS,27.8,27.8,27.8,27.8,1000,30.0,2021-01-21
ASTL,47.3,48.9,47.0,47.78,4623500,47.33,2021-01-21
ASTL-CFEB,48.3,0.0,0.0,48.3,0,47.89,2021-01-21
ASTL-CJAN,47.88,0.0,0.0,47.88,0,47.48,2021-01-21
ASTL-CMAR,48.72,0.0,0.0,48.72,0,48.31,2021-01-21
ASTL-JAN,47.3,48.74,47.27,47.77,1561,47.21,2021-01-21
ASTM,8.85,9.0,8.85,9.0,4500,8.8,2021-01-21
ATBA,260.87,265.0,260.01,262.33,11900,258.55,2021-01-21
ATIL,61.94,62.0,61.25,61.45,45000,61.99,2021-01-21
ATLH,497.0,500.0,497.0,500.0,2200,492.0,2021-01-21
ATRL,180.4,180.99,177.9,178.77,1009000,179.28,2021-01-21
ATRL-JAN,180.5,181.2,178.5,179.11,1007,179.87,2021-01-21
AVN,94.24,96.4,93.98,95.56,6456500,93.43,2021-01-21
AVN-JAN,94.1,96.5,94.1,95.87,8841,93.3,2021-01-21
BAFL,36.56,36.89,36.45,36.48,1852905,36.74,2021-01-21
BAFL-CFEB,36.88,0.0,0.0,36.88,0,37.18,2021-01-21
BAFL-CJAN,36.56,0.0,0.0,36.56,0,36.86,2021-01-21
BAFL-CMAR,37.2,0.0,0.0,37.2,0,37.5,2021-01-21
BAFL-JAN,36.6,36.7,36.45,36.45,51,36.48,2021-01-21
BAFLTFC6,100.38,0.0,0.0,100.38,0,100.38,2021-01-21
BAHL,78.32,79.7,78.32,79.52,860041,78.15,2021-01-21
BAHL-JAN,78.89,80.0,74.6,79.76,1766,78.48,2021-01-21
BAPL,20.9,20.96,20.05,20.96,14000,19.5,2021-01-21
BATA,1519.99,1519.99,1500.0,1500.33,140,1505.73,2021-01-21
BCL,106.0,119.3,106.0,116.0,259200,111.0,2021-01-21
BERG,110.94,111.0,108.0,108.44,56500,108.51,2021-01-21
BGL,7.6,7.85,7.51,7.6,197000,7.57,2021-01-21
BIFO,157.5,158.5,153.0,157.0,14000,157.16,2021-01-21
BILF,1.84,1.9,1.75,1.88,87500,1.8,2021-01-21
BIPL,13.97,14.02,13.7,13.92,1407000,13.81,2021-01-21
BIPLS,15.89,15.89,15.89,15.89,500,15.59,2021-01-21
BNL,56.0,56.5,54.5,55.08,165000,55.55,2021-01-21
BNWM,50.88,52.1,50.88,51.66,11500,51.76,2021-01-21
BOK,15.01,15.01,15.0,15.0,18500,15.01,2021-01-21
BOP,9.5,9.57,9.45,9.48,2132000,9.46,2021-01-21
BOP-CFEB,9.58,0.0,0.0,9.58,0,9.57,2021-01-21
BOP-CJAN,9.5,0.0,0.0,9.5,0,9.49,2021-01-21
BOP-CMAR,9.67,0.0,0.0,9.67,0,9.66,2021-01-21
BOP-JAN,9.57,9.59,9.47,9.51,954,9.52,2021-01-21
BPL,31.15,31.2,30.0,30.25,46000,30.5,2021-01-21
BRR,13.03,14.42,13.0,14.06,407500,13.42,2021-01-21
BRRR,3.45,3.79,2.75,3.79,1211500,2.79,2021-01-21
BUXL,61.7,61.7,60.83,61.52,6500,60.83,2021-01-21
BWCL,163.23,163.23,158.0,158.21,17700,159.56,2021-01-21
BYCO,9.66,9.89,9.61,9.65,4216000,9.69,2021-01-21
CENI,23.0,23.4,23.0,23.0,5500,22.75,2021-01-21
CEPB,124.55,125.8,124.06,125.27,79200,123.96,2021-01-21
CEPB-JAN,124.55,125.5,124.05,124.97,27,124.01,2021-01-21
CHAS,104.0,105.0,104.0,105.0,9500,103.5,2021-01-21
CHCC,141.98,145.7,141.02,143.17,760500,141.02,2021-01-21
CHCC-CFEB,144.74,0.0,0.0,144.74,0,142.7,2021-01-21
CHCC-CJAN,143.48,0.0,0.0,143.48,0,141.46,2021-01-21
CHCC-CMAR,146.0,0.0,0.0,146.0,0,143.94,2021-01-21
CHCC-JAN,142.94,145.9,142.94,143.44,217,142.0,2021-01-21
CLOV,79.99,80.99,79.1,79.31,128500,79.66,2021-01-21
CPPL,214.5,219.89,214.5,217.5,19300,214.01,2021-01-21
CRTM,37.0,37.0,36.2,36.57,288000,36.46,2021-01-21
CSAP,84.25,84.74,82.1,82.86,111500,83.19,2021-01-21
CSIL,2.79,2.79,2.7,2.74,136000,2.74,2021-01-21
CTM,5.77,6.63,5.5,6.46,9389500,5.63,2021-01-21
CWSM,2.19,2.31,2.0,2.13,325000,2.2,2021-01-21
CYAN,47.1,50.48,45.55,50.48,370000,46.96,2021-01-21
DAAG,15.8,18.2,15.8,18.2,13500,17.08,2021-01-21
DADX,40.0,42.7,40.0,42.7,5000,42.15,2021-01-21
DAWH,132.0,133.49,130.51,132.58,49834,132.13,2021-01-21
DCL,11.55,11.68,11.11,11.18,4345000,11.43,2021-01-21
DCR,10.4,10.64,10.39,10.4,1409000,10.39,2021-01-21
DCR-JAN,10.43,0.0,0.0,10.43,0,10.43,2021-01-21
DEL,7.25,7.85,7.25,7.25,29000,7.5,2021-01-21
DFML,7.07,7.13,6.95,7.0,182000,7.07,2021-01-21
DFSM,2.6,2.74,2.57,2.62,182000,2.6,2021-01-21
DGKC,110.85,112.98,110.5,111.0,2564037,110.13,2021-01-21
DGKC-CFEB,112.22,0.0,0.0,112.22,0,111.44,2021-01-21
DGKC-CJAN,111.24,0.0,0.0,111.24,0,110.48,2021-01-21
DGKC-CMAR,113.19,0.0,0.0,113.19,0,112.41,2021-01-21
DGKC-JAN,111.43,113.1,110.82,111.3,1086,110.39,2021-01-21
DINT,51.85,51.85,48.25,51.6,5500,51.0,2021-01-21
DLL,230.0,233.0,230.0,233.0,1400,238.75,2021-01-21
DNCC,10.65,10.71,10.65,10.68,1000,10.16,2021-01-21
DOL,35.67,36.25,35.3,35.36,355000,35.67,2021-01-21
DOL-JAN,35.77,36.2,35.31,35.49,75,35.77,2021-01-21
DSIL,3.35,3.5,3.31,3.4,700500,3.35,2021-01-21
DSL,4.4,4.45,4.23,4.26,2522000,4.41,2021-01-21
DWSM,3.02,3.03,3.0,3.03,16000,3.03,2021-01-21
DYNO,239.98,239.98,230.0,232.79,10000,229.91,2021-01-21
ECOP,33.37,34.39,32.01,32.71,256000,33.64,2021-01-21
EFERT,65.03,65.6,65.0,65.52,707951,65.04,2021-01-21
EFERT-CFEB,66.24,0.0,0.0,66.24,0,65.82,2021-01-21
EFERT-CJAN,65.66,0.0,0.0,65.66,0,65.24,2021-01-21
EFERT-CMAR,66.81,0.0,0.0,66.81,0,66.39,2021-01-21
EFERT-JAN,65.52,65.52,65.52,65.52,2,65.14,2021-01-21
EFGH,23.5,23.51,23.5,23.5,6000,23.43,2021-01-21
EFUG,121.47,123.0,121.0,122.0,25500,121.47,2021-01-21
EFUL,201.99,204.97,200.0,203.5,3200,198.0,2021-01-21
EMCO,39.9,39.9,38.5,39.0,17500,39.97,2021-01-21
ENGRO,309.25,311.5,306.9,310.75,217956,307.04,2021-01-21
ENGRO-CFEB,314.16,0.0,0.0,314.16,0,310.7,2021-01-21
ENGRO-CJAN,311.43,0.0,0.0,311.43,0,308.0,2021-01-21
ENGRO-JAN,308.01,312.48,308.01,311.59,45,309.78,2021-01-21
EPCL,47.75,48.9,47.51,47.91,1659500,47.75,2021-01-21
EPCL-CFEB,48.44,0.0,0.0,48.44,0,48.32,2021-01-21
EPCL-CJAN,48.02,0.0,0.0,48.02,0,47.9,2021-01-21
EPCL-CMAR,48.86,0.0,0.0,48.86,0,48.74,2021-01-21
EPCL-JAN,48.49,48.85,47.82,48.17,277,47.99,2021-01-21
EPCLPS,11.24,11.24,11.2,11.2,2500,11.24,2021-01-21
EPCLSC,102.15,0.0,0.0,102.15,0,102.15,2021-01-21
EPQL,22.05,22.35,22.05,22.15,58000,22.06,2021-01-21
ESBL,10.32,10.49,10.32,10.48,8500,10.3,2021-01-21
EXIDE,355.34,370.0,355.34,370.0,1600,370.0,2021-01-21
FABL,21.2,21.39,20.9,20.9,3910000,21.13,2021-01-21
FANM,3.26,3.75,3.26,3.59,1500,3.25,2021-01-21
FASM,380.0,380.0,380.0,380.0,600,368.01,2021-01-21
FATIMA,28.51,29.0,28.51,28.77,60500,28.75,2021-01-21
FCCL,21.21,21.7,21.21,21.41,2380000,21.26,2021-01-21
FCCL-CFEB,21.65,0.0,0.0,21.65,0,21.51,2021-01-21
FCCL-CJAN,21.46,0.0,0.0,21.46,0,21.33,2021-01-21
FCCL-CMAR,21.83,0.0,0.0,21.83,0,21.7,2021-01-21
FCCL-JAN,21.4,21.7,21.35,21.4,857,21.23,2021-01-21
FCEPL,80.0,87.32,80.0,87.31,3899000,81.23,2021-01-21
FCIBL,8.5,9.0,8.5,8.9,17500,8.77,2021-01-21
FCSC,1.49,1.5,1.4,1.4,722000,1.46,2021-01-21
FDIBL,2.4,2.49,2.3,2.33,210000,2.39,2021-01-21
FECM,2.83,3.39,2.83,3.1,32500,3.1,2021-01-21
FECTC,34.22,34.93,34.03,34.16,20500,34.28,2021-01-21
FEM,3.48,3.48,3.15,3.34,25000,3.15,2021-01-21
FEROZ,329.99,332.5,326.0,327.21,122500,329.94,2021-01-21
FEROZ-JAN,330.51,332.5,327.25,328.05,59,331.15,2021-01-21
FFBL,27.35,27.6,27.1,27.2,4094500,27.35,2021-01-21
FFBL-CFEB,27.5,0.0,0.0,27.5,0,27.68,2021-01-21
FFBL-CMAR,27.74,0.0,0.0,27.74,0,27.92,2021-01-21
FFBL-JAN,27.7,27.7,27.15,27.28,5382,27.41,2021-01-21
FFC,110.5,111.75,110.5,111.38,164607,111.39,2021-01-21
FFC-CFEB,112.6,0.0,0.0,112.6,0,112.72,2021-01-21
FFC-CJAN,111.62,0.0,0.0,111.62,0,111.74,2021-01-21
FFC-CMAR,113.58,0.0,0.0,113.58,0,113.7,2021-01-21
FFC-JAN,111.66,0.0,0.0,111.66,0,111.77,2021-01-21
FFL,18.66,19.3,18.6,19.1,23037500,18.56,2021-01-21
FFLM,3.9,3.9,3.9,3.9,4000,3.7,2021-01-21
FHAM,9.75,10.0,9.75,10.0,62000,10.12,2021-01-21
FIMM,95.67,95.67,95.67,95.67,100,89.0,2021-01-21
FLYNG,11.1,11.44,11.1,11.15,417500,11.18,2021-01-21
FML,120.1,123.0,118.2,118.35,30500,120.03,2021-01-21
FNEL,20.2,21.4,20.2,20.3,2746000,20.19,2021-01-21
FPJM,2.72,2.74,2.5,2.67,8500,2.57,2021-01-21
FRCL,25.3,26.24,25.1,25.8,15500,24.84,2021-01-21
FRSM,42.5,42.5,42.0,42.0,5000,42.97,2021-01-21
FTMM,16.17,17.99,16.16,17.56,7500,17.47,2021-01-21
FUDLM,12.5,12.5,12.3,12.5,5500,12.45,2021-01-21
FZCM,194.0,198.76,193.0,198.76,10400,184.9,2021-01-21
GAIL,6.15,6.27,6.0,6.19,183000,6.15,2021-01-21
GAMON,12.7,13.45,12.5,13.0,16000,13.0,2021-01-21
GATI,600.0,600.0,600.0,600.0,100,619.99,2021-01-21
GATM,44.44,45.75,44.4,44.56,2783500,44.63,2021-01-21
GATM-CFEB,45.05,0.0,0.0,45.05,0,45.16,2021-01-21
GATM-CJAN,44.66,0.0,0.0,44.66,0,44.77,2021-01-21
GATM-CMAR,45.44,0.0,0.0,45.44,0,45.55,2021-01-21
GATM-JAN,44.56,45.7,44.5,44.65,1291,44.8,2021-01-21
